frame,DetObj#,x,y,z,v,snr,noise
4,6,-0.49866440892219543,2.251622438430786,-0.07123778015375137,-0.14837002754211426,148,442
5,0,0.11872962862253189,1.8959705829620361,0.29682406783103943,0.0,178,604
5,1,1.8284363746643066,3.1186416149139404,-3.9893152713775635,0.0,121,499
5,2,-9.569607734680176,3.9813899993896484,-5.888989448547363,0.0,113,372
5,3,-0.10685666650533676,0.36246800422668457,0.07123778015375137,-0.1730983704328537,207,422
5,4,-0.35618889331817627,2.2695815563201904,0.21371334791183472,-0.09891335666179657,247,442
5,5,-0.07123778015375137,0.35875433683395386,-0.11872962862253189,-0.07418501377105713,260,547
5,6,-1.3060259819030762,4.004223823547363,0.39180779457092285,-0.07418501377105713,129,387
5,7,1.4366285800933838,3.872121810913086,0.9142181873321533,-0.07418501377105713,129,387
6,0,0.059364814311265945,1.907090663909912,0.23745925724506378,0.0,178,607
6,1,1.5197392702102661,5.934805870056152,0.569902241230011,0.0,123,486
6,2,8.263582229614258,1.94808828830719,7.230633735656738,0.0,123,375
7,0,0.0,1.8996844291687012,0.29682406783103943,0.0,208,602
7,1,8.607897758483887,1.6871925592422485,6.886318206787109,0.0,121,382
7,2,-9.201545715332031,4.770788192749023,-5.888989448547363,0.0,139,372
7,3,-0.49866440892219543,2.242588758468628,0.21371334791183472,-0.09891335666179657,197,466
8,0,0.11872962862253189,1.8857195377349854,0.35618889331817627,0.0,133,593
8,1,1.9946576356887817,3.0150368213653564,-3.9893152713775635,0.0,115,492
8,2,4.820422649383545,1.3298901319503784,-1.9946576356887817,0.0,115,492
8,3,8.263582229614258,1.94808828830719,7.230633735656738,0.0,132,372
8,4,-0.35618889331817627,2.261741876602173,0.2849511206150055,-0.1730983704328537,180,446
8,5,-0.023745926097035408,0.2571288049221039,-0.2849511206150055,-0.049456678330898285,276,508
9,0,0.2849511206150055,2.217556953430176,0.569902241230011,0.0,151,574
9,1,7.919266223907471,2.0662178993225098,7.574949741363525,0.0,131,368
9,2,-9.569607734680176,4.477836608886719,-5.520927429199219,0.0,146,361
10,0,0.11872962862253189,1.8959705829620361,0.29682406783103943,0.0,204,592
10,1,0.18996740877628326,3.0469067096710205,0.37993481755256653,0.0,127,569
10,2,8.263582229614258,1.94808828830719,7.230633735656738,0.0,133,375
10,3,-0.29682406783103943,1.898756742477417,0.059364814311265945,-0.07418501377105713,137,426
11,0,0.059364814311265945,1.8885208368301392,0.35618889331817627,0.0,203,607
11,1,8.192343711853027,2.1374728679656982,7.836154937744141,0.0,116,382
11,2,-7.123777866363525,6.75831413269043,-6.055211067199707,0.0,116,382
11,3,-8.833483695983887,5.796376705169678,-5.520927429199219,0.0,118,380
12,0,0.059364814311265945,1.898756742477417,0.29682406783103943,0.0,207,604
12,1,0.0,3.0631489753723145,0.2849511206150055,0.0,132,576
12,2,8.263582229614258,1.94808828830719,7.230633735656738,0.0,122,381
13,0,0.059364814311265945,1.898756742477417,0.29682406783103943,0.0,221,604
13,1,0.18996740877628326,6.12335205078125,-0.569902241230011,0.0,119,493
13,2,8.263582229614258,1.94808828830719,7.230633735656738,0.0,122,385
14,0,0.059364814311265945,1.898756742477417,0.29682406783103943,0.0,215,610
14,1,0.0,4.996725082397461,0.15434852242469788,0.0,119,508
14,2,0.0,6.141006946563721,-0.37993481755256653,0.0,130,489
14,3,7.919266223907471,2.0662178993225098,7.574949741363525,0.0,117,388
15,0,0.059364814311265945,1.898756742477417,0.29682406783103943,0.0,217,607
15,1,-0.18996740877628326,6.146880626678467,-0.18996740877628326,0.0,127,491
